,number,reward,policy,group
0,1,-0.30977420482664564,BC,policy
1,1,-0.23215175090928392,BC,HL
2,1,-0.33520147752819557,DAgger,policy
3,1,-0.2283384017736266,DAgger,HL
4,1,-0.16993211342839995,SAC,policy
5,1,-0.23395080370838608,SAC,HL
6,5,-0.5193510888833026,BC,policy
7,5,-0.26111587444599127,BC,HL
8,5,-0.3986618759994819,DAgger,policy
9,5,-0.24376190470635947,DAgger,HL
10,5,-0.2752656649507469,SAC,policy
11,5,-0.2708932069204528,SAC,HL
12,10,-0.7270135395648317,BC,policy
13,10,-0.2976160053830843,BC,HL
14,10,-0.4880019525545396,DAgger,policy
15,10,-0.2618429264551648,DAgger,HL
16,10,-0.41708318389724736,SAC,policy
17,10,-0.3339403285843507,SAC,HL
18,15,-0.8694806882995992,BC,policy
19,15,-0.3444829237702467,BC,HL
20,15,-0.5738331078505835,DAgger,policy
21,15,-0.2905761978268381,DAgger,HL
22,15,-0.5276276007624576,SAC,policy
23,15,-0.3918749568468906,SAC,HL
24,19,-0.9424099619013895,BC,policy
25,19,-0.38546963943161705,BC,HL
26,19,-0.6134419277934272,DAgger,policy
27,19,-0.29689573583749124,DAgger,HL
28,19,-0.6037689854765254,SAC,policy
29,19,-0.42659221720019264,SAC,HL
